SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,8299 Cambridge St #1102,Houston,TX,77054,125000,1,1.5,Sherbrooke Square T/h Condo,852,,1981,7,147,374,Active,,,https://www.redfin.com/TX/Houston/8299-Cambridge-St-77054/unit-1102/home/30511400,HARMLS,18080252,N,Y,29.686939,-95.394865
MLS Listing,,Condo/Co-op,7313 Gulf Fwy #813,Houston,TX,77017,83000,2,1.5,Berkley Court Condo Ph 02,902,70216,1981,8,92,431,Active,,,https://www.redfin.com/TX/Houston/7313-Gulf-Fwy-77017/unit-813/home/30514759,HARMLS,95883160,N,Y,29.6975441,-95.2841725
MLS Listing,,Single Family Residential,3905 Cotswold St,Houston,TX,77009,215000,2,1.0,Brooke Smith Second Add,912,5000,1924,8,236,,Active,,,https://www.redfin.com/TX/Houston/3905-Cotswold-St-77009/home/29743985,HARMLS,73857702,N,Y,29.7924776,-95.3706165
MLS Listing,,Single Family Residential,802 Clinton Park St,Houston,TX,77029,89900,2,1.0,Clinton Park,913,6600,1940,8,98,,Active,,,https://www.redfin.com/TX/Houston/802-Clinton-Park-St-77029/home/29969792,HARMLS,76514832,N,Y,29.7394795,-95.2570787
MLS Listing,,Single Family Residential,8157 Record St,Houston,TX,77028,179500,3,1.0,Clairmont Place Sec 02,1050,7200,1950,8,171,,Active,,,https://www.redfin.com/TX/Houston/8157-Record-St-77028/home/30021456,HARMLS,2667160,N,Y,29.84698,-95.2776884
MLS Listing,,Condo/Co-op,2818 S Bartell Dr #213,Houston,TX,77054,79500,1,1.0,Hearthwood 02 Condo Ph 03,700,112064,1982,8,114,310,Active,,,https://www.redfin.com/TX/Houston/2818-S-Bartell-Dr-77054/unit-213/home/30506637,HARMLS,74186887,N,Y,29.6806988,-95.4211607
MLS Listing,,Single Family Residential,5950 Southford St,Houston,TX,77033,130000,3,1.0,Southcrest,1284,7866,1950,8,101,,Active,,,https://www.redfin.com/TX/Houston/5950-Southford-St-77033/home/30026746,HARMLS,45562675,N,Y,29.6787905,-95.3295941
MLS Listing,,Single Family Residential,8762 Othello St,Houston,TX,77029,179000,3,1.0,Pleasant View,1236,6105,1955,8,145,,Active,,,https://www.redfin.com/TX/Houston/8762-Othello-St-77029/home/30096031,HARMLS,11090455,N,Y,29.7609254,-95.2670363
MLS Listing,,Single Family Residential,518 Wild Wind Ln,Houston,TX,77013,200000,3,2.0,Songwood Sec 06,1582,6900,1976,9,126,2,Active,,,https://www.redfin.com/TX/Houston/518-Wild-Wind-Ln-77013/home/30214254,HARMLS,2680710,N,Y,29.7796828,-95.2363756
MLS Listing,,Townhouse,7827 Grove Ridge Dr,Houston,TX,77061,105000,2,1.5,Glenbrook T/h,1156,840,1972,9,91,372,Active,,,https://www.redfin.com/TX/Houston/7827-Grove-Ridge-Dr-77061/home/30270321,HARMLS,85452194,N,Y,29.6769298,-95.2845872
MLS Listing,,Condo/Co-op,2600 Bellefontaine St Unit C-9,Houston,TX,77025,110000,1,1.0,Barclay,898,,1964,9,122,644,Active,,,https://www.redfin.com/TX/Houston/2600-Bellefontaine-St-77025/unit-C9/home/30396514,HARMLS,77124739,N,Y,29.7035364,-95.4198922
MLS Listing,,Single Family Residential,2120 Yates St,Houston,TX,77020,140000,2,1.0,Augusta,864,2500,1936,9,162,,Active,,,https://www.redfin.com/TX/Houston/2120-Yates-St-77020/home/29646780,HARMLS,46042966,N,Y,29.7802025,-95.3237314
MLS Listing,,Single Family Residential,7335 Market St,Houston,TX,77020,140000,2,1.0,Houston Harbor,1044,4500,1940,9,134,,Active,,,https://www.redfin.com/TX/Houston/7335-Market-St-77020/home/29691341,HARMLS,36989161,N,Y,29.7727619,-95.2948156
MLS Listing,,Condo/Co-op,2209 S Braeswood Blvd Unit 33I,Houston,TX,77030,132000,2,1.0,Braeswood Condo,913,,1981,9,145,289,Active,,,https://www.redfin.com/TX/Houston/2209-S-Braeswood-Blvd-77030/unit-33I/home/30535328,HARMLS,49982411,N,Y,29.696148,-95.410505
MLS Listing,,Single Family Residential,3137 Crandon St,Houston,TX,77026,109900,3,1.5,Oak Park,1208,6500,1972,9,91,,Active,,,https://www.redfin.com/TX/Houston/3137-Crandon-St-77026/home/29727074,HARMLS,32125596,N,Y,29.7986961,-95.3372736
MLS Listing,,Single Family Residential,5422 Minden St,Houston,TX,77026,164995,2,1.0,Kashmere Gardens,864,15000,1945,10,191,,Active,,,https://www.redfin.com/TX/Houston/5422-Minden-St-77026/home/29937601,HARMLS,26949163,N,Y,29.8073087,-95.3160344
MLS Listing,,Condo/Co-op,8055 Cambridge St #59,Houston,TX,77054,121900,2,1.0,Cambridge Court Condo Ph 01,776,169569,1984,10,157,402,Active,,,https://www.redfin.com/TX/Houston/8055-Cambridge-St-77054/unit-59/home/30561089,HARMLS,32334475,N,Y,29.6896964,-95.3930356
