Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/107-Datonia-St-Bellaire-TX-77401/27930327_zpid/,,House for sale,Single Family,,1299000,No,,,3692,sqft,351.84,8494.2,sqft,4,4,"Beth Wolff, REALTORS",,107 Datonia St,Bellaire,77401,TX,USA
https://www.zillow.com/homedetails/24202-Falcon-Point-Dr-Katy-TX-77494/27555098_zpid/,,House for sale,Single Family,,569000,Yes,10000,05/12/2023,3681,sqft,154.58,10023.16,sqft,5,4,BHGRE Gary Greene,,24202 Falcon Point Dr,Katy,77494,TX,USA
https://www.zillow.com/homedetails/7819-Livingston-St-Houston-TX-77051/27812495_zpid/,,House for sale,Single Family,5,168000,No,,,1316,sqft,127.66,5000.69,sqft,3,2,"Compass RE Texas, LLC Heights",,7819 Livingston St,Houston,77051,TX,USA
https://www.zillow.com/community/meridiana-65ft-lots/2062248522_zpid/,,New construction,Unknown,,636990,Yes,20000,01/04/2023,3635,sqft,175.24,,,4,4,,,"Plan 229 Plan, Meridiana: 65ft. lots",Manvel,77578,TX,USA
https://www.zillow.com/homedetails/414-Bauxhall-Ct-Katy-TX-77450/28193758_zpid/,,House for sale,Single Family,,479000,Yes,6000,06/12/2023,3328,sqft,143.93,0.28,acres,5,4,Keller Williams Signature,,414 Bauxhall Ct,Katy,77450,TX,USA
https://www.zillow.com/homedetails/2213-Penny-Derrick-Ln-Houston-TX-77055/2057876851_zpid/,,New construction,Unknown,,354700,No,,,1488,sqft,238.37,1813,sqft,3,2,"Compass RE Texas, LLC",,2213 Penny Derrick Ln,Houston,77055,TX,USA
https://www.zillow.com/homedetails/843-W-25th-St-Houston-TX-77008/80544358_zpid/,,House for sale,Single Family,,420000,No,,,1972,sqft,212.98,1833.88,sqft,3,3,Boulevard Realty,,843 W 25th St,Houston,77008,TX,USA
https://www.zillow.com/homedetails/22814-Red-River-Dr-Katy-TX-77450/28285359_zpid/,,House for sale,Single Family,,370000,Yes,10000,06/09/2023,2658,sqft,139.2,8999.5,sqft,5,3,Walzel Properties,,22814 Red River Dr,Katy,77450,TX,USA
https://www.zillow.com/homedetails/9420-Glenfield-Ct-Houston-TX-77096/251173469_zpid/,,House for sale,Single Family,,400000,Yes,25000,06/15/2023,2918,sqft,137.08,2705.08,sqft,4,4,"eXp Realty, LLC",,9420 Glenfield Ct,Houston,77096,TX,USA
https://www.zillow.com/homedetails/12519-Burgoyne-Dr-Houston-TX-77077/28304350_zpid/,,House for sale,Single Family,,374900,Yes,10000,06/14/2023,2348,sqft,159.67,7104.64,sqft,4,3,Keller Williams Realty - Memor,,12519 Burgoyne Dr,Houston,77077,TX,USA
https://www.zillow.com/homedetails/5119-Rollingstone-Rd-Richmond-TX-77407/80067382_zpid/,,House for sale,Single Family,,405000,Yes,10000,06/04/2023,2444,sqft,165.71,7326.79,sqft,4,2,Inner Loop Lifestyle LLC,,5119 Rollingstone Rd,Richmond,77407,TX,USA
https://www.zillow.com/homedetails/2734-Lakecrest-Dr-Pearland-TX-77584/26538738_zpid/,,House for sale,Single Family,11,1290000,No,,,6837,sqft,188.68,0.51,acres,6,6,United Real Estate,,2734 Lakecrest Dr,Pearland,77584,TX,USA
https://www.zillow.com/homedetails/3501-Chenevert-St-APT-20-Houston-TX-77004/97647025_zpid/,,Condo for sale,Condominium,14,248000,No,,,1580,sqft,156.96,0.79,acres,2,3,REALM Real Estate Professional,,3501 Chenevert St APT 20,Houston,77004,TX,USA
https://www.zillow.com/homedetails/0-Wood-Duck-Ct-Missouri-City-TX-77459/2057228593_zpid/,,Lot / Land for sale,Lot/Land,10,130000,No,,,,,,1,acres,,,HomeSmart,,0 Wood Duck Ct,Missouri City,77459,TX,USA
https://www.zillow.com/homedetails/5427-Eagle-Trace-Ct-Sugar-Land-TX-77479/54637583_zpid/,,House for sale,Single Family,,768000,No,,,3788,sqft,202.75,8829.61,sqft,4,4,"Lei & Associates, LLC",,5427 Eagle Trace Ct,Sugar Land,77479,TX,USA
https://www.zillow.com/homedetails/4102-Garden-Cove-Ct-Katy-TX-77494/59752639_zpid/,,House for sale,Single Family,,599000,Yes,16000,06/09/2023,3442,sqft,174.03,8990,sqft,4,4,"Compass RE Texas, LLCKaty",,4102 Garden Cove Ct,Katy,77494,TX,USA
https://www.zillow.com/homedetails/22306-Tea-Rose-Ct-Richmond-TX-77407/82703782_zpid/,,House for sale,Single Family,7,330000,No,,,1858,sqft,177.61,6398.96,sqft,3,2,Griffith Real Estate Services,,22306 Tea Rose Ct,Richmond,77407,TX,USA
https://www.zillow.com/homedetails/19407-Franz-Rd-Houston-TX-77084/28319028_zpid/,,House for sale,Single Family,,315000,No,,,1715,sqft,183.67,8062.96,sqft,3,2,Realty Executives,,19407 Franz Rd,Houston,77084,TX,USA
https://www.zillow.com/homedetails/2917-Altoona-St-Houston-TX-77026/27794336_zpid/,,Lot / Land for sale,Lot/Land,1,47000,No,,,,,,3057.91,sqft,,,TUXOR REALTY,,2917 Altoona St,Houston,77026,TX,USA
https://www.zillow.com/homedetails/2750-Holly-Hall-St-APT-1415-Houston-TX-77054/28466667_zpid/,,Condo for sale,Condominium,,149900,No,,,796,sqft,188.32,2.72,acres,2,1,MB Connections,,2750 Holly Hall St APT 1415,Houston,77054,TX,USA
